kata,positif,negatif
orang,1,1
disampingnya,1,0
demokratnya,0,1
mah,0,1
wowo,0,1
anak,2,1
buah,0,1
kayak,0,1
dancok,0,1
untung,0,1
kau,0,3
diancam,0,1
tim,0,1
mawar,0,1
lucu,0,1
gue,0,2
liat,1,1
dukung,1,1
orng,0,1
ndtang,0,1
ilc,0,1
bikin,0,3
malu,0,2
nklo,0,1
dtang,0,1
debat,0,1
salah,2,1
mulu,0,1
nheran,0,1
muji,0,2
mahluq,0,1
nwajar,0,1
aja,1,5
biar,1,1
berkembang,0,1
biak,0,1
mentok,0,1
muak,1,0
dgn,4,4
tingkah,1,0
pengumpat,1,0
kubu,2,0
puasa,2,0
ramadhan,1,0
segan,1,0
dikotori,1,0
sungguh,1,0
mohon,1,0
bantu,1,0
amankan,1,0
pemilik,1,0
akun,1,0
hatespeech,1,0
takedown,1,0
orangnya,1,0
stop,1,0
fitnah,2,0
insya,1,0
allah,2,1
ayahanda,1,0
tulus,1,0
jujur,7,1
membela,1,0
keadilan,1,0
negeri,1,0
mari,2,0
rakyat,5,6
bodoh,1,2
dungu,1,0
ndpt,1,0
dipengaruhi,1,0
elit,2,0
politik,1,2
bpnemak,1,0
demo,1,2
mrk,2,3
mati,1,1
pahlawan,1,0
tdk,6,1
keturunan,1,0
menyadang,1,0
predikat,1,0
pemberontakperjuangan,1,0
ujungperistiwa,1,0
smbon,1,0
maluku,1,0
ulah,1,0
propokasi,1,0
poltikbersdr,1,0
salingmembunuhmrk,1,0
sadar,1,0
setlh,1,0
puluhan,1,0
klo,2,1
drmokrat,1,0
keprntingan,1,0
kah,1,0
gausah,1,0
turun,1,0
emak,3,0
suka,1,0
menganggp,1,0
lbih,1,0
kalah,2,7
kalh,1,0
pendkungnya,1,0
ditngkp,1,0
supya,1,0
tau,1,0
jmlh,1,0
oposisi,1,0
sdikit,1,0
jebakan,0,1
artikan,1,0
power,3,0
kekuatan,3,1
fisik,2,0
moral,2,0
contoh,1,0
kalimat,2,0
patut,1,0
dicerna,1,0
the,2,0
love,1,0
saved,1,0
her,1,0
dlm,1,0
pengertiannya,1,0
mengarah,2,0
kpd,2,0
njangan,1,1
offline,1,0
side,1,0
ndarah,1,0
merah,1,0
pemakan,1,0
darah,1,0
putih,1,0
nsalam,1,0
n321,1,0
rembulan,1,0
senja,1,0
senin,1,0
bang,3,1
mengadakan,1,0
buka,1,0
rumah,1,0
kertanegara,1,0
didampingi,1,0
jajaran,1,0
koalisi,1,0
bpn,2,2
sandi,1,0
memenuhi,1,0
briefing,1,0
teman,2,0
media,3,0
internasional,1,0
selengkapnya,1,0
instagram,1,0
gunanya,1,1
bawaslu,2,0
dkkp,1,0
bentuklah,1,0
resiko,1,0
pembangkangan,1,0
semesta,1,0
mayoritas,3,0
menang,3,2
didukung,1,0
bukti,1,1
otentik,1,0
biayanya,1,0
kpu,2,1
berani,3,0
memanipulasi,1,0
hasil,1,0
pilpres,1,1
kecuali,1,0
org,1,0
2nya,1,0
nekad,1,0
perduli,1,0
nasib,1,0
bangsa,1,1
negaranya,1,0
pokoknya,1,0
prabowo,3,0
nharus,1,0
presiden,3,1
nintinya,1,0
fer,1,0
pokeke,1,0
lawan,1,0
gorengan,1,0
pake,1,1
tolong,1,0
ditambahin,1,0
pendukung,2,2
bodo,0,1
sih,0,1
nmassa,0,1
andaanda,0,1
nkedaulatan,0,1
konstitusi,0,1
terarah,0,1
kontrol,0,1
alhamdulillah,2,1
puisi,1,0
munajat,1,0
akbar,1,0
dikabulkan,1,0
murka,0,1
diaceh,0,1
bencana,0,1
alam,0,1
sunami,0,1
des,0,1
2004ratusan,0,1
ribu,0,3
korban,0,1
menyadarkan,0,1
aceh,2,1
perjuangan,0,1
berkenandimata,0,1
tuhan,0,1
nbaiknya,0,1
berdamai,0,1
pemerintahpuluhan,0,1
wanita,0,1
janda,0,1
akibat,0,1
suami,0,1
diperjuangan,0,1
gam,0,2
gagalapakah,0,1
mengulangi,0,1
tsb,0,1
curang,1,4
tingal,0,1
diam,0,2
hadapi,0,1
pengkhianat,0,2
ntaruh,0,1
alamat,0,1
sok,0,1
bener,0,1
dik,0,1
nmau,0,1
manganulir,0,1
pemilu,0,2
nnaif,0,1
gila,0,2
keracunan,0,1
kebanyakan,0,1
kekuasaan,0,2
kebodohan,0,1
henti,0,1
jason,0,1
ranti,0,1
ahy,1,2
ngaku,0,1
krn,1,4
urutan,0,1
ketiga,0,1
emang,1,1
ahmad,0,1
dani,0,1
ditahan,0,1
licik,1,0
aamiin,1,0
kayaknya,1,0
